Vendor ID,Vendor Name,Year of Establishment,Total Volume,Days for Payment Clearance,Consistency,Number of Sources,Experience,Total Actual Quantity,Remaining Volume,Total Revenue
1001,Vendor1,1990,573041,30,3,39,34,157401,415640,176.58993
1002,Vendor2,1988,478242,45,1,56,36,198129,280113,246.0530519
1003,Vendor3,1976,426597,60,2,76,48,180792,245805,216.5766085
1004,Vendor4,1993,391141,15,3,65,31,155147,235994,161.7941562
1005,Vendor5,1952,337487,45,1,55,72,152605,184882,169.687163
1006,Vendor6,1958,485342,15,1,89,66,166983,318359,194.2604879
1007,Vendor7,1972,466425,30,3,82,52,161437,304988,168.770182
1008,Vendor8,1969,369734,45,4,80,55,144377,225357,171.2782439
1009,Vendor9,1990,646121,45,4,53,34,189083,457038,206.2185621
1010,Vendor10,1956,486244,15,3,34,68,164910,321334,195.5299767
1011,Vendor11,1957,474503,15,3,63,67,170166,304337,205.5906693
1012,Vendor12,1994,622512,15,2,28,30,168926,453586,175.5151802
1013,Vendor13,1989,370971,30,1,72,35,132138,238833,160.3449435
1014,Vendor14,1980,370340,45,1,85,44,171187,199153,188.8020742
1015,Vendor15,1960,492220,60,2,29,64,183886,308334,198.34157679999998
